Designator,Footprint,Quantity,Value,LCSC Part #
"C1, C4",0402,2,0.1uF,C1525
"C2, C5",0402,2,10uF,C15525
"C6, C7",0402,2,220pF,C1530
DATA1,0603,1,LED,C2290
H1,Turtle-Art-2024,1,DNP (LOGO),
J1,TerminalBlock_RND_205-00001_1x02_P5.00mm_Horizontal,1,12 VDC,C8404
"J2, J5",TerminalBlock_RND_205-00001_1x02_P5.00mm_Horizontal,2,RS422 BUS,C8404
J3,TerminalBlock_RND_205-00001_1x02_P5.00mm_Horizontal,1,SPEAKER 4OHM,C8404
J4,TerminalBlock_RND_205-00002_1x03_P5.00mm_Horizontal,1,TO WHIP,C8401
POWER1,0603,1,LED,C2286
"R1, R2",0603,2,20K,C4184
"R3, R4",0603,2,10K,C25804
R5,0402,1,120,C25079
"R6, R9",0402,2,470,C25117
R7,0402,1,1M,C26083
R8,0402,1,100K,C25741
SW2,SW_DIP_SPSTx06_Slide_6.7x16.8mm_W7.62mm_P2.54mm_LowProfile,1,SW_DIP_x06,C2859410
U2,SOIC-8_3.9x4.9mm_P1.27mm,1,MAX485ESA+T,C19738
U3,SOIC-14_3.9x8.7mm_P1.27mm,1,SN74AHCT125DR,C155176
U4,Converter_DCDC_TRACO_TSR-1_THT,1,TSR_1-2450,DNP
U5,MAX98357AETE+T,1,MAX98357AETE+T,C910544
U6,Teensy41_Minimal,1,Teensy4.1_Minimal,DNP
